tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
liv,2023,2023,2023-02-26,Mayakoba,9,"Canter, Laurie",14795,46,3,El Camaleón Golf Course at Mayakoba,1,71,,,73,,,,,,-2.083,297.0,0.5,0.611,,,,,,0.0,3.0,11.0,3.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Koepka, Chase",21997,47,1,El Camaleón Golf Course at Mayakoba,1,71,,,74,,,,,,-2.333,286.5,0.429,0.611,,,,,,0.0,3.0,10.0,4.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Koepka, Chase",21997,47,2,El Camaleón Golf Course at Mayakoba,1,71,,,81,,,,,,-10.0,320.5,0.357,0.556,,,,,,0.0,3.0,8.0,5.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Koepka, Chase",21997,47,3,El Camaleón Golf Course at Mayakoba,1,71,,,73,,,,,,-2.083,290.5,0.571,0.389,,,,,,0.0,3.0,10.0,5.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Kim, Sihwan",13307,48,1,El Camaleón Golf Course at Mayakoba,1,71,,,82,,,,,,-10.333,285.5,0.429,0.556,,,,,,0.0,2.0,9.0,5.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Canter, Laurie",14795,46,1,El Camaleón Golf Course at Mayakoba,1,71,,,79,,,,,,-7.333,314.0,0.286,0.444,,,,,,0.0,3.0,7.0,7.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Schwartzel, Charl",7398,T35,1,El Camaleón Golf Course at Mayakoba,1,71,,,74,,,,,,-2.333,308.5,0.357,0.667,,,,,,0.0,4.0,9.0,3.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Morgan, Jediah",22738,43,1,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,1.667,332.5,0.286,0.611,,,,,,0.0,4.0,12.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Oosthuizen, Louis",7672,T41,2,El Camaleón Golf Course at Mayakoba,1,71,,,69,,,,,,2.0,288.5,0.786,0.722,,,,,,0.0,6.0,10.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Schwartzel, Charl",7398,T35,3,El Camaleón Golf Course at Mayakoba,1,71,,,69,,,,,,1.917,315.0,0.571,0.611,,,,,,0.0,3.0,14.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Puig Currius, David",28984,T38,1,El Camaleón Golf Course at Mayakoba,1,71,,,74,,,,,,-2.333,329.5,0.357,0.444,,,,,,0.0,2.0,11.0,5.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Puig Currius, David",28984,T38,2,El Camaleón Golf Course at Mayakoba,1,71,,,69,,,,,,2.0,330.5,0.5,0.667,,,,,,0.0,4.0,12.0,2.0,0.0
