tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,28309,59836,"Coody, Pierceson",0,70,USA,41,46,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,9771,28089,"Day, Jason",0,109,AUS,30,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,22833,51349,"Echavarria, Nico",0,70,COL,89,58,T32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,14577,34099,"English, Harris",0,145,USA,16,15,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,11676,29725,"Finau, Tony",0,193,USA,115,96,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,17646,40098,"Fitzpatrick, Matt",0,235,ENG,7,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,12294,30911,"Fleetwood, Tommy",0,356,ENG,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,12965,32102,"Fowler, Rickie",0,124,USA,21,69,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,11889,29936,"Fox, Ryan",0,40,NZL,72,49,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,29767,59018,"Gerard, Ryan",0,76,USA,33,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,7399,25900,"Glover, Lucas",0,26,USA,86,73,T142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,27774,59095,"Gotterup, Chris",0,192,USA,20,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,23465,51977,"Greyserman, Max",0,43,USA,64,51,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,24968,54591,"Griffin, Ben",0,93,USA,9,11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,27194,57975,"Hall, Harry",0,34,ENG,26,59,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,8825,27644,"Harman, Brian",0,57,USA,69,43,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,14578,34098,"Henley, Russell",0,118,USA,5,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
