username,event_name,event_date,event_id,pick_player_name,dg_id,method,matched_to_odds_name,score
SJUPRIDE10,The American Express,2026-01-22,2.0,Michael Thorbjornsen,26649.0,direct_ff,Michael Thorbjornsen,1.0
Skibasher,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
Skibasher,The American Express,2026-01-22,2.0,Kurt Kitayama,21891.0,direct_ff,Kurt Kitayama,1.0
Sullivanchris01,Sony Open in Hawaii,2026-01-15,6.0,Jake Knapp,19396.0,direct_ff,Jake Knapp,1.0
Sullivanchris01,The American Express,2026-01-22,2.0,Rasmus Hojgaard,23838.0,direct_ff,Rasmus Hojgaard,1.0
Tbargie,Sony Open in Hawaii,2026-01-15,6.0,Collin Morikawa,22085.0,direct_ff,Collin Morikawa,1.0
Tbargie,The American Express,2026-01-22,2.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
ThePME,Sony Open in Hawaii,2026-01-15,6.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
ThePME,The American Express,2026-01-22,2.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
Tiger4040,Sony Open in Hawaii,2026-01-15,6.0,Brian Harman,8825.0,direct_ff,Brian Harman,1.0
Tiger4040,The American Express,2026-01-22,2.0,Daniel Berger,17606.0,direct_ff,Daniel Berger,1.0
Walshy0104,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
Walshy0104,The American Express,2026-01-22,2.0,Harry Hall,27194.0,direct_ff,Harry Hall,1.0
Zsather,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
Zsather,The American Express,2026-01-22,2.0,Ryan Gerard,29767.0,direct_ff,Ryan Gerard,1.0
andylicious,Sony Open in Hawaii,2026-01-15,6.0,Robert MacIntyre,23323.0,direct_ff,Robert MacIntyre,1.0
andylicious,The American Express,2026-01-22,2.0,Daniel Berger,17606.0,direct_ff,Daniel Berger,1.0
balvari,Sony Open in Hawaii,2026-01-15,6.0,Corey Conners,17576.0,direct_ff,Corey Conners,1.0
