username,entry_id,event_date,event_name,player_name,season,league_id,event_key,dg_id,raw_winnings,event_id
Ottomatic,r8h6myq,2026-01-15,Sony Open in Hawaii,Ben Griffin,2026,2026_small,Sony Open in Hawaii_2026-01-15,24968,111839,6.0
Ottomatic,r8h6myq,2026-01-22,The American Express,Christiaan Bezuidenhout,2026,2026_small,The American Express_2026-01-22,18103,39100,2.0
Pjh5165,36hm6vj,2026-01-15,Sony Open in Hawaii,Si Woo Kim,2026,2026_small,Sony Open in Hawaii_2026-01-15,14609,220675,6.0
Pjh5165,36hm6vj,2026-01-22,The American Express,Sam Burns,2026,2026_small,The American Express_2026-01-22,19483,57918,2.0
Ponta01,x0h7wo6,2026-01-15,Sony Open in Hawaii,Si Woo Kim,2026,2026_small,Sony Open in Hawaii_2026-01-15,14609,220675,6.0
Ponta01,x0h7wo6,2026-01-22,The American Express,Matt Fitzpatrick,2026,2026_small,The American Express_2026-01-22,17646,19688,2.0
Rjsut727,erh7z6m,2026-01-15,Sony Open in Hawaii,Hideki Matsuyama,2026,2026_small,Sony Open in Hawaii_2026-01-15,13562,163042,6.0
Rjsut727,erh7z6m,2026-01-22,The American Express,Russell Henley,2026,2026_small,The American Express_2026-01-22,14578,250700,2.0
Rye1987,36hm5jq,2026-01-15,Sony Open in Hawaii,Chris Kirk,2026,2026_small,Sony Open in Hawaii_2026-01-15,12423,0,6.0
Rye1987,36hm5jq,2026-01-22,The American Express,Daniel Berger,2026,2026_small,The American Express_2026-01-22,17606,20884,2.0
SJUPRIDE10,64hmvvv,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
SJUPRIDE10,64hmvvv,2026-01-22,The American Express,Michael Thorbjornsen,2026,2026_small,The American Express_2026-01-22,26649,0,2.0
Skibasher,m3h6p00,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
Skibasher,m3h6p00,2026-01-22,The American Express,Kurt Kitayama,2026,2026_small,The American Express_2026-01-22,21891,0,2.0
Sullivanchris01,53hepg6,2026-01-15,Sony Open in Hawaii,Jake Knapp,2026,2026_small,Sony Open in Hawaii_2026-01-15,19396,220675,6.0
Sullivanchris01,53hepg6,2026-01-22,The American Express,Rasmus Hojgaard,2026,2026_small,The American Express_2026-01-22,23838,25377,2.0
Tbargie,dnhzpdq,2026-01-15,Sony Open in Hawaii,Collin Morikawa,2026,2026_small,Sony Open in Hawaii_2026-01-15,22085,0,6.0
Tbargie,dnhzpdq,2026-01-22,The American Express,Si Woo Kim,2026,2026_small,The American Express_2026-01-22,14609,322000,2.0
ThePME,36hogo7,2026-01-15,Sony Open in Hawaii,Ben Griffin,2026,2026_small,Sony Open in Hawaii_2026-01-15,24968,111839,6.0
ThePME,36hogo7,2026-01-22,The American Express,Russell Henley,2026,2026_small,The American Express_2026-01-22,14578,250700,2.0
Tiger4040,wrhm9kd,2026-01-15,Sony Open in Hawaii,Brian Harman,2026,2026_small,Sony Open in Hawaii_2026-01-15,8825,19929,6.0
