username,entryId,eventName,eventDate,selection,winnings
jonescurtisw,dnhzxey,The Genesis Invitational,2026-02-19,Tommy Fleetwood,603200.00
jtsalvetti,vnh36vq,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
Jwhit25,53he4g4,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
Kbhoff,36hmp75,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
kotsko,36hmm9z,The Genesis Invitational,2026-02-19,Rory McIlroy,1800000.00
Kriegs,m3h6nm8,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
linkcalhoun,p8hd469,The Genesis Invitational,2026-02-19,Jake Knapp,760000.00
Mbrowder,nehqwrq,The Genesis Invitational,2026-02-19,Harris English,224500.00
MWalker9,53h0vzo,The Genesis Invitational,2026-02-19,Tommy Fleetwood,603200.00
newcastle21,8vh9ek9,The Genesis Invitational,2026-02-19,Matt Fitzpatrick,178250.00
Nikopmelis,36hmn6j,The Genesis Invitational,2026-02-19,Xander Schauffele,603200.00
one007,x0h7nzj,The Genesis Invitational,2026-02-19,Rory McIlroy,1800000.00
Ottomatic,r8h6myq,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
pbyrne11,wrhmp93,The Genesis Invitational,2026-02-19,Tommy Fleetwood,603200.00
picksixer360,m3h8mey,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
Pjh5165,36hm6vj,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
Ponta01,x0h7wo6,The Genesis Invitational,2026-02-19,Rory McIlroy,1800000.00
Rjsut727,erh7z6m,The Genesis Invitational,2026-02-19,Tommy Fleetwood,603200.00
Rye1987,36hm5jq,The Genesis Invitational,2026-02-19,Russell Henley,0.00
SJUPRIDE10,64hmvvv,The Genesis Invitational,2026-02-19,Rory McIlroy,1800000.00
Skibasher,m3h6p00,The Genesis Invitational,2026-02-19,Rory McIlroy,1800000.00
Sullivanchris01,53hepg6,The Genesis Invitational,2026-02-19,Ben Griffin,78000.00
talktob,vnh4gw5,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
Tbargie,dnhzpdq,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
ThePME,36hogo7,The Genesis Invitational,2026-02-19,Xander Schauffele,603200.00
tice0101,x0h73j9,The Genesis Invitational,2026-02-19,Xander Schauffele,603200.00
Tiger4040,wrhm9kd,The Genesis Invitational,2026-02-19,Rickie Fowler,136500.00
Walshy0104,m3h80k9,The Genesis Invitational,2026-02-19,Xander Schauffele,603200.00
Zsather,nehqkoz,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
