USER,TOURNAMENT,PICK,EARNINGS
justinmacmahan (4),Arnold Palmer Invitational presented by Mastercard,M. Fitzpatrick,78000
justinmacmahan (4),Cognizant Classic,M. Thorbjornsen,-50000
justinmacmahan (4),The Genesis Invitational,M. Woo Lee,415000
justinmacmahan (4),AT&T Pebble Beach Pro-Am,P. Cantlay,342750
justinmacmahan (4),WM Phoenix Open,X. Schauffele,34080
justinmacmahan (4),Masters Tournament,J. Rose,1200000
justinmacmahan (4),Valero Texas Open,J. Spaun,1764000
justinmacmahan (4),Texas Children's Houston Open,R. Gerard,-50000
justinmacmahan (4),Valspar Championship,N. Taylor,-50000
justinmacmahan (5),The Players Championship,C. Young,5000000
justinmacmahan (5),Arnold Palmer Invitational presented by Mastercard,S. Lowry,-50000
justinmacmahan (5),Cognizant Classic,M. Meissner,-50000
justinmacmahan (5),The Genesis Invitational,H. Matsuyama,136500
justinmacmahan (5),AT&T Pebble Beach Pro-Am,V. Hovland,39750
justinmacmahan (5),WM Phoenix Open,S. Woo Kim,439680
justinmacmahan (5),Masters Tournament,L. Aberg,280000
justinmacmahan (5),Valero Texas Open,R. Henley,-50000
justinmacmahan (5),Texas Children's Houston Open,C. Gotterup,322988
justinmacmahan (5),Valspar Championship,P. Cantlay,276413
kapantal (1),The Players Championship,C. Young,5000000
kapantal (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
kapantal (1),Cognizant Classic,N. Hojgaard,324000
kapantal (1),The Genesis Invitational,M. Fitzpatrick,178250
kapantal (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
kapantal (1),WM Phoenix Open,H. Matsuyama,1046400
kapantal (1),Masters Tournament,S. Scheffler,2700000
kapantal (1),Valero Texas Open,S. Straka,-50000
kapantal (1),Texas Children's Houston Open,C. Gotterup,322988
kapantal (1),Valspar Championship,S. Theegala,-50000
krutches (1),The Players Championship,J. Knapp,-55556
krutches (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
krutches (1),Cognizant Classic,N. Hojgaard,324000
krutches (1),The Genesis Invitational,P. Cantlay,92250
krutches (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
krutches (1),WM Phoenix Open,C. Gotterup,1728000
krutches (1),Masters Tournament,R. McIlroy,5000000
krutches (1),Valero Texas Open,S. Woo Kim,237650
krutches (1),Texas Children's Houston Open,M. Woo Lee,584100
krutches (1),Valspar Championship,R. Hisatsune,51142
lundynuts (1),The Players Championship,T. Fleetwood,812500
lundynuts (1),Arnold Palmer Invitational presented by Mastercard,R. Henley,702000
lundynuts (1),Cognizant Classic,S. Lowry,726400
lundynuts (1),The Genesis Invitational,P. Cantlay,92250
lundynuts (1),AT&T Pebble Beach Pro-Am,V. Hovland,39750
lundynuts (1),WM Phoenix Open,H. Matsuyama,1046400
lundynuts (1),Masters Tournament,X. Schauffele,700000
lundynuts (1),Valero Texas Open,M. McNealy,95550
lundynuts (1),Texas Children's Houston Open,J. Knapp,322988
lundynuts (1),Valspar Championship,J. Spaun,-50000
McKenzie Scotts Tots (1),The Players Championship,S. Woo Kim,67870
McKenzie Scotts Tots (1),Arnold Palmer Invitational presented by Mastercard,R. McIlroy,0
McKenzie Scotts Tots (1),Cognizant Classic,A. Rai,77600
McKenzie Scotts Tots (1),The Genesis Invitational,X. Schauffele,603200
McKenzie Scotts Tots (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
McKenzie Scotts Tots (1),WM Phoenix Open,C. Young,34080
McKenzie Scotts Tots (1),Masters Tournament,S. Scheffler,2700000
McKenzie Scotts Tots (1),Valero Texas Open,R. MacIntyre,741533
McKenzie Scotts Tots (1),Texas Children's Houston Open,J. Knapp,322988
McKenzie Scotts Tots (1),Valspar Championship,J. Thomas,51142
nelsonmonteith (1),The Players Championship,C. Morikawa,0
nelsonmonteith (1),Arnold Palmer Invitational presented by Mastercard,M. Fitzpatrick,78000
nelsonmonteith (1),Cognizant Classic,R. Gerard,77600
nelsonmonteith (1),The Genesis Invitational,T. Fleetwood,603200
nelsonmonteith (1),AT&T Pebble Beach Pro-Am,S. Woo Kim,57000
nelsonmonteith (1),WM Phoenix Open,H. Matsuyama,1046400
nelsonmonteith (1),Masters Tournament,S. Scheffler,2700000
nelsonmonteith (1),Valero Texas Open,R. MacIntyre,741533
nelsonmonteith (1),Texas Children's Houston Open,J. Knapp,322988
nelsonmonteith (1),Valspar Championship,R. Hisatsune,51142
norips (1),The Players Championship,R. Henley,454476
norips (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
norips (1),Cognizant Classic,N. Hojgaard,324000
norips (1),The Genesis Invitational,T. Fleetwood,603200
norips (1),AT&T Pebble Beach Pro-Am,S. Woo Kim,57000
norips (1),WM Phoenix Open,P. Coody,242400
