season,league_id,event_name,event_date,event_key,event_id,entry_id,username,player_name,dg_id,raw_winnings,event_order,start_date,event_name_sched,event_name_key,phase,year,close_odds,event_tier,pick_band,performance_risk,allocation_risk
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,43hxwkx,rnadams480,Scottie Scheffler,18417,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,4.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,0dh4yxe,Sandell,Shane Lowry,13900,700000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,46.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,jjhk5xo,Skibasher,Scottie Scheffler,18417,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,4.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,43hq9ex,strokes3410,Maverick McNealy,18634,0.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,46.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,0dh9x7r,Sullivanchris01,Xander Schauffele,19895,78000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,17.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,k6hy553,thorrr,Ludvig Aberg,23950,178111.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,17.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,gkhw4xy,tice0101,Collin Morikawa,22085,2200000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,21.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,qzhkdgm,Tiger4040,Justin Thomas,14139,96750.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,26.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,wrh834r,vegatime99,Scottie Scheffler,18417,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,4.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,53h86q4,Walshy0104,Scottie Scheffler,18417,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,4.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,x0h77jq,zjb23,Ludvig Aberg,23950,178111.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,17.0,signature,elite,0.0,0.0
