season,league_id,event_name,event_date,event_key,event_id,entry_id,username,player_name,dg_id,raw_winnings
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,gkhd55z,nausetsurf,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,53hpydy,one007,Sam Burns,19483.0,123500.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,jjhzgoz,pangomango,Viktor Hovland,18841.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,64hep78,pbyrne11,Viktor Hovland,18841.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,53hpqnr,Pitch12,Patrick Cantlay,15466.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,k6hd763,Rjsut727,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,ykhy67v,SamDanes26,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,53hpkgw,Sandell,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,qzh6rzp,Skibasher,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,k6hx9nj,strokes3410,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,dnhq46j,tboland1324,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,r8h9kov,theWhistlesGoWo,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,64h9jd8,thorrr,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,qzh6p30,tice0101,Xander Schauffele,19895.0,162800.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,wrhdqy3,Tiger4040,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,wrhdz40,vegatime99,Matt Fitzpatrick,17646.0,0.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,neh7k0d,Walshy0104,Viktor Hovland,18841.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,nehvyvz,Wickednick,Will Zalatoris,19428.0,920000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,43hrm4d,zjb23,Matt Fitzpatrick,17646.0,0.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,jjhzg65,9thGreenAtNine,Max Homa,17538.0,53500.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,64h9j7o,AKsREVENGE,Hideki Matsuyama,13562.0,875000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,43hrmz5,anpyanks,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,dnhqm0e,balvari,Xander Schauffele,19895.0,1891667.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,qzhkx78,BigCat97,Hideki Matsuyama,13562.0,875000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,78hp55w,Bjrobins123,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,oohqvv9,CashMonet,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,64h9g9w,chrismurf21,Hideki Matsuyama,13562.0,875000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,neh7mge,docpalm,Hideki Matsuyama,13562.0,875000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,wrhd5vm,Donkosaurus,Keegan Bradley,13872.0,0.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,ykhw95j,Dreamweaver816,Max Homa,17538.0,53500.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,k6hx6gd,Enicola0922,Justin Thomas,14139.0,0.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,8vh0gp4,epab2350,Will Zalatoris,19428.0,0.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,36h6jv5,GlizzyAtTheTurn,Patrick Cantlay,15466.0,51500.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,wrhd3n7,golfprotriplets,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,ykhwrxr,halliam1114,Xander Schauffele,19895.0,1891667.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,m3hgm7j,HLAXERS,Viktor Hovland,18841.0,55000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,wrhdgg8,itsabucslife1,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,oohq00q,JermRussLFG,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,vnhv54n,JLUDEOBV,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,oohq04p,joempike,Viktor Hovland,18841.0,55000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,dnhqx8j,jonescurtisw,Hideki Matsuyama,13562.0,875000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,qzhk84y,josen1,Viktor Hovland,18841.0,55000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,0dh95e7,jtsalvetti,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,36hx0j9,JustDan,Xander Schauffele,19895.0,1891667.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,gkhdr46,Kbhoff,Xander Schauffele,19895.0,1891667.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,78hp4ro,linkcalhoun,Hideki Matsuyama,13562.0,875000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,64he6nw,Mohmo,Russell Henley,14578.0,0.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,gkhd55z,nausetsurf,Viktor Hovland,18841.0,55000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,53hpydy,one007,Rory McIlroy,10091.0,285536.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,jjhzgoz,pangomango,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,64hep78,pbyrne11,Russell Henley,14578.0,0.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,erhp3gm,picksixer360,Scottie Scheffler,18417.0,4500000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,53hpqnr,Pitch12,Max Homa,17538.0,53500.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,k6hd763,Rjsut727,Rory McIlroy,10091.0,285536.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,ykhy67v,SamDanes26,Will Zalatoris,19428.0,0.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,53hpkgw,Sandell,Hideki Matsuyama,13562.0,875000.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,qzh6rzp,Skibasher,Tommy Fleetwood,12294.0,119286.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,k6hx9nj,strokes3410,Max Homa,17538.0,53500.0
2024,2024_small,THE PLAYERS Championship,2024-03-14,THE PLAYERS Championship_2024-03-14,11,dnhq46j,tboland1324,Sam Burns,19483.0,70063.0
