username,entryId,eventName,eventDate,selection,winnings
Wickednick,nehvyvz,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
zjb23,43hrm4d,AT&T Pebble Beach Pro-Am,2024-02-01,Viktor Hovland,38250.00
9thGreenAtNine,jjhzg65,WM Phoenix Open,2024-02-08,Hideki Matsuyama,82133.00
AKsREVENGE,64h9j7o,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
anpyanks,43hrmz5,WM Phoenix Open,2024-02-08,Hideki Matsuyama,82133.00
balvari,dnhqm0e,WM Phoenix Open,2024-02-08,Sungjae Im,18392.00
BigCat97,qzhkx78,WM Phoenix Open,2024-02-08,Jordan Spieth,308000.00
Bjrobins123,78hp55w,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
CashMonet,oohqvv9,WM Phoenix Open,2024-02-08,Cameron Young,248600.00
docpalm,neh7mge,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
Donkosaurus,wrhd5vm,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
Dreamweaver816,ykhw95j,WM Phoenix Open,2024-02-08,Tom Kim,125400.00
Enicola0922,k6hx6gd,WM Phoenix Open,2024-02-08,Rickie Fowler,0.00
epab2350,8vh0gp4,WM Phoenix Open,2024-02-08,Sahith Theegala,360800.00
GlizzyAtTheTurn,36h6jv5,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
golfprotriplets,wrhd3n7,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
halliam1114,ykhwrxr,WM Phoenix Open,2024-02-08,Kurt Kitayama,248600.00
HLAXERS,m3hgm7j,WM Phoenix Open,2024-02-08,Min Woo Lee,17776.00
itsabucslife1,wrhdgg8,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
JermRussLFG,oohq00q,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
JLUDEOBV,vnhv54n,WM Phoenix Open,2024-02-08,Byeong Hun An,18392.00
joempike,oohq04p,WM Phoenix Open,2024-02-08,Byeong Hun An,18392.00
jonescurtisw,dnhqx8j,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
josen1,qzhk84y,WM Phoenix Open,2024-02-08,Hideki Matsuyama,82133.00
jtsalvetti,0dh95e7,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
JustDan,36hx0j9,WM Phoenix Open,2024-02-08,Jordan Spieth,308000.00
Kbhoff,gkhdr46,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
linkcalhoun,78hp4ro,WM Phoenix Open,2024-02-08,Adam Scott,248600.00
logandempsey20,m3h790r,WM Phoenix Open,2024-02-08,Si Woo Kim,187000.00
Mohmo,64he6nw,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
nausetsurf,gkhd55z,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
one007,53hpydy,WM Phoenix Open,2024-02-08,Wyndham Clark,30404.00
pangomango,jjhzgoz,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
pbyrne11,64hep78,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
picksixer360,erhp3gm,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
Pitch12,53hpqnr,WM Phoenix Open,2024-02-08,Jordan Spieth,308000.00
Rjsut727,k6hd763,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
SamDanes26,ykhy67v,WM Phoenix Open,2024-02-08,Adam Scott,248600.00
Sandell,53hpkgw,WM Phoenix Open,2024-02-08,Byeong Hun An,18392.00
Skibasher,qzh6rzp,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
strokes3410,k6hx9nj,WM Phoenix Open,2024-02-08,Hideki Matsuyama,82133.00
tboland1324,dnhq46j,WM Phoenix Open,2024-02-08,Byeong Hun An,18392.00
theWhistlesGoWo,r8h9kov,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
thorrr,64h9jd8,WM Phoenix Open,2024-02-08,Sahith Theegala,360800.00
tice0101,qzh6p30,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
Tiger4040,wrhdqy3,WM Phoenix Open,2024-02-08,Hideki Matsuyama,82133.00
vegatime99,wrhdz40,WM Phoenix Open,2024-02-08,Justin Thomas,187000.00
Walshy0104,neh7k0d,WM Phoenix Open,2024-02-08,Sam Burns,519200.00
Wickednick,nehvyvz,WM Phoenix Open,2024-02-08,Byeong Hun An,18392.00
zjb23,43hrm4d,WM Phoenix Open,2024-02-08,Sahith Theegala,360800.00
9thGreenAtNine,jjhzg65,The Genesis Invitational,2024-02-15,Rory McIlroy,164857.00
AKsREVENGE,64h9j7o,The Genesis Invitational,2024-02-15,Patrick Cantlay,866667.00
anpyanks,43hrmz5,The Genesis Invitational,2024-02-15,Cameron Young,329000.00
balvari,dnhqm0e,The Genesis Invitational,2024-02-15,Rory McIlroy,164857.00
BigCat97,qzhkx78,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
Bjrobins123,78hp55w,The Genesis Invitational,2024-02-15,Patrick Cantlay,866667.00
CashMonet,oohqvv9,The Genesis Invitational,2024-02-15,Patrick Cantlay,866667.00
chrismurf21,64h9g9w,The Genesis Invitational,2024-02-15,Sam Burns,455000.00
docpalm,neh7mge,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
Donkosaurus,wrhd5vm,The Genesis Invitational,2024-02-15,Patrick Cantlay,866667.00
Dreamweaver816,ykhw95j,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
Enicola0922,k6hx6gd,The Genesis Invitational,2024-02-15,Collin Morikawa,251400.00
epab2350,8vh0gp4,The Genesis Invitational,2024-02-15,Patrick Cantlay,866667.00
GlizzyAtTheTurn,36h6jv5,The Genesis Invitational,2024-02-15,Rory McIlroy,164857.00
golfprotriplets,wrhd3n7,The Genesis Invitational,2024-02-15,Viktor Hovland,251400.00
halliam1114,ykhwrxr,The Genesis Invitational,2024-02-15,Collin Morikawa,251400.00
HLAXERS,m3hgm7j,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
itsabucslife1,wrhdgg8,The Genesis Invitational,2024-02-15,Wyndham Clark,0.00
JermRussLFG,oohq00q,The Genesis Invitational,2024-02-15,Justin Thomas,0.00
JLUDEOBV,vnhv54n,The Genesis Invitational,2024-02-15,Max Homa,329000.00
joempike,oohq04p,The Genesis Invitational,2024-02-15,Max Homa,329000.00
jonescurtisw,dnhqx8j,The Genesis Invitational,2024-02-15,Justin Thomas,0.00
josen1,qzhk84y,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
jtsalvetti,0dh95e7,The Genesis Invitational,2024-02-15,Viktor Hovland,251400.00
JustDan,36hx0j9,The Genesis Invitational,2024-02-15,Justin Thomas,0.00
Kbhoff,gkhdr46,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
linkcalhoun,78hp4ro,The Genesis Invitational,2024-02-15,Justin Thomas,0.00
logandempsey20,m3h790r,The Genesis Invitational,2024-02-15,Matt Fitzpatrick,0.00
Mohmo,64he6nw,The Genesis Invitational,2024-02-15,Max Homa,329000.00
nausetsurf,gkhd55z,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
one007,53hpydy,The Genesis Invitational,2024-02-15,Sahith Theegala,96500.00
pangomango,jjhzgoz,The Genesis Invitational,2024-02-15,Rory McIlroy,164857.00
pbyrne11,64hep78,The Genesis Invitational,2024-02-15,Patrick Cantlay,866667.00
picksixer360,erhp3gm,The Genesis Invitational,2024-02-15,Tom Kim,164857.00
Pitch12,53hpqnr,The Genesis Invitational,2024-02-15,Collin Morikawa,251400.00
Rjsut727,k6hd763,The Genesis Invitational,2024-02-15,Patrick Cantlay,866667.00
SamDanes26,ykhy67v,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
Sandell,53hpkgw,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
Skibasher,qzh6rzp,The Genesis Invitational,2024-02-15,Cameron Young,329000.00
strokes3410,k6hx9nj,The Genesis Invitational,2024-02-15,Adam Scott,251400.00
tboland1324,dnhq46j,The Genesis Invitational,2024-02-15,Justin Thomas,0.00
theWhistlesGoWo,r8h9kov,The Genesis Invitational,2024-02-15,Collin Morikawa,251400.00
thorrr,64h9jd8,The Genesis Invitational,2024-02-15,Justin Thomas,0.00
tice0101,qzh6p30,The Genesis Invitational,2024-02-15,Tony Finau,251400.00
Tiger4040,wrhdqy3,The Genesis Invitational,2024-02-15,Tommy Fleetwood,455000.00
vegatime99,wrhdz40,The Genesis Invitational,2024-02-15,Scottie Scheffler,455000.00
Walshy0104,neh7k0d,The Genesis Invitational,2024-02-15,Patrick Cantlay,866667.00
Wickednick,nehvyvz,The Genesis Invitational,2024-02-15,Viktor Hovland,251400.00
zjb23,43hrm4d,The Genesis Invitational,2024-02-15,Collin Morikawa,251400.00
9thGreenAtNine,jjhzg65,Mexico Open at Vidanta,2024-02-22,Taylor Pendrith,0.00
AKsREVENGE,64h9j7o,Mexico Open at Vidanta,2024-02-22,Tony Finau,145125.00
anpyanks,43hrmz5,Mexico Open at Vidanta,2024-02-22,Nicolai Hojgaard,19467.00
balvari,dnhqm0e,Mexico Open at Vidanta,2024-02-22,Nicolai Hojgaard,19467.00
BigCat97,qzhkx78,Mexico Open at Vidanta,2024-02-22,Tony Finau,145125.00
Bjrobins123,78hp55w,Mexico Open at Vidanta,2024-02-22,Tony Finau,145125.00
CashMonet,oohqvv9,Mexico Open at Vidanta,2024-02-22,Nicolai Hojgaard,19467.00
chrismurf21,64h9g9w,Mexico Open at Vidanta,2024-02-22,Taylor Pendrith,0.00
docpalm,neh7mge,Mexico Open at Vidanta,2024-02-22,Taylor Pendrith,0.00
Donkosaurus,wrhd5vm,Mexico Open at Vidanta,2024-02-22,Michael Kim,0.00
Dreamweaver816,ykhw95j,Mexico Open at Vidanta,2024-02-22,Thomas Detry,0.00
Enicola0922,k6hx6gd,Mexico Open at Vidanta,2024-02-22,Thomas Detry,0.00
epab2350,8vh0gp4,Mexico Open at Vidanta,2024-02-22,Tony Finau,145125.00
GlizzyAtTheTurn,36h6jv5,Mexico Open at Vidanta,2024-02-22,Nicolai Hojgaard,19467.00
golfprotriplets,wrhd3n7,Mexico Open at Vidanta,2024-02-22,Tony Finau,145125.00
halliam1114,ykhwrxr,Mexico Open at Vidanta,2024-02-22,Taylor Pendrith,0.00
