username,n_picks,ARI,PRI,elite_rate,normie_rate,longshot_rate,sig_longshot_rate,risk_composite,user_type
Donkosaurus,29,6.896551724137931,51.724137931034484,0.3103448275862069,0.41379310344827586,0.27586206896551724,0.06896551724137931,24.82758620689655,gambler
Enicola0922,64,12.890625,42.1875,0.265625,0.65625,0.078125,0.03125,24.609375,mixed
Tiger4040,61,14.754098360655737,39.34426229508197,0.32786885245901637,0.5737704918032787,0.09836065573770492,0.01639344262295082,24.59016393442623,mixed
CashMonet,31,13.709677419354838,40.32258064516129,0.3870967741935484,0.4838709677419355,0.12903225806451613,0.06451612903225806,24.354838709677416,gambler
JLUDEOBV,64,16.40625,35.9375,0.34375,0.609375,0.046875,0.015625,24.21875,mixed
pangomango,62,12.903225806451612,41.12903225806452,0.3064516129032258,0.5806451612903226,0.11290322580645161,0.016129032258064516,24.193548387096776,mixed
Caleb2023,31,11.29032258064516,43.54838709677419,0.22580645161290322,0.7096774193548387,0.06451612903225806,0.03225806451612903,24.193548387096772,mixed
9thGreenAtNine,62,11.693548387096774,42.74193548387097,0.25806451612903225,0.6451612903225806,0.0967741935483871,0.016129032258064516,24.112903225806452,mixed
balvari,33,15.151515151515152,36.36363636363637,0.2727272727272727,0.7272727272727273,0.0,0.0,23.63636363636364,mixed
jonescurtisw,64,17.96875,32.03125,0.4375,0.5,0.0625,0.015625,23.59375,disciplined_saver
Walshy0104,64,15.234375,35.9375,0.359375,0.578125,0.0625,0.015625,23.515625,mixed
Wickednick,29,20.689655172413794,27.586206896551722,0.4482758620689655,0.5517241379310345,0.0,0.0,23.448275862068968,mixed
OrangeBirds8,26,6.730769230769231,48.07692307692308,0.2692307692307692,0.5384615384615384,0.19230769230769232,0.038461538461538464,23.269230769230774,strategic_leverage
Mohmo,31,16.129032258064516,33.87096774193548,0.3870967741935484,0.5483870967741935,0.06451612903225806,0.0,23.225806451612904,disciplined_saver
anpyanks,31,16.129032258064516,33.87096774193548,0.3870967741935484,0.5483870967741935,0.06451612903225806,0.0,23.225806451612904,disciplined_saver
golfprotriplets,55,15.0,34.54545454545455,0.38181818181818183,0.5636363636363636,0.05454545454545454,0.01818181818181818,22.81818181818182,disciplined_saver
thorrr,62,15.32258064516129,33.87096774193548,0.3870967741935484,0.5645161290322581,0.04838709677419355,0.016129032258064516,22.741935483870968,disciplined_saver
chrismurf21,29,9.482758620689655,41.37931034482759,0.27586206896551724,0.6206896551724138,0.10344827586206896,0.0,22.24137931034483,mixed
docpalm,31,12.096774193548388,37.096774193548384,0.3225806451612903,0.6451612903225806,0.03225806451612903,0.03225806451612903,22.096774193548384,mixed
Bjrobins123,31,16.129032258064516,30.64516129032258,0.41935483870967744,0.5483870967741935,0.03225806451612903,0.0,21.935483870967744,disciplined_saver
epab2350,31,12.096774193548388,35.483870967741936,0.3225806451612903,0.6451612903225806,0.03225806451612903,0.0,21.451612903225808,mixed
rnadams480,30,9.166666666666666,38.333333333333336,0.3333333333333333,0.5666666666666667,0.1,0.0,20.833333333333336,mixed
