tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave,partner_dg_id,partner_player_name
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,11657,30163,"Norlander, Henrik",0,0,SWE,323.0,339.0,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7960,"List, Luke"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,23475,51997,"Novak, Andrew",0,0,USA,107.0,53.0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24968,"Griffin, Ben"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,25475,55851,"Nyholm, Pontus",0,0,SWE,239.0,231.0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26850,"Svensson, Jesper"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,5698,22046,"Ogilvy, Geoff",0,0,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17786,"Davis, Cam"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,25611,55965,"Olesen, Jacob Skov",0,0,DEN,167.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23841,"Neergaard-Petersen, Rasmus"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,7820,23320,"Palmer, Ryan",0,0,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15004,"Kim, Chan"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,13764,28723,"Parry, John",0,0,ENG,60.0,83.0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20766,"Brown, Dan"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,22087,50582,"Paul, Jeremy",0,0,GER,299.0,312.0,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14140,"Higgs, Harry"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,19960,48153,"Pavon, Matthieu",0,0,FRA,210.0,233.0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27811,"Couvra, Martin"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,17780,40250,"Pendrith, Taylor",0,0,CAN,85.0,77.0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15556,"Hughes, Mackenzie"
