dg_id,target_season,player_name_latest,total_rounds_hist,raw_sg,wgh_sg,dec_raw_sg,dec_wgh_sg,avg_round_score
18634,2024,"McNealy, Maverick",133,0.5657894736842105,0.568543923898273,0.4908673373832655,0.4954308442297337,70.04511278195488
15326,2024,"Sullivan, Andy",178,0.3835561797752809,0.4357172522990431,0.4324445983916648,0.49499596455504974,70.87640449438203
17064,2024,"Herbert, Lucas",149,0.4755033557046979,0.45841519655072016,0.5091907677314502,0.4937921259018519,70.49664429530202
14609,2024,"Kim, Si Woo",184,0.5212771739130435,0.5058017785294348,0.5061711001046482,0.49323514390887563,70.17222222222222
18517,2024,"Soderberg, Sebastian",177,0.4385310734463277,0.4064864857976753,0.5194805526418348,0.4826083714261653,70.54802259887006
11019,2024,"Steele, Brendan",122,0.40340983606557373,0.4378043327694767,0.44578517459941885,0.4791520201459279,70.18032786885246
13344,2024,"Baldwin, Matthew",124,0.5643225806451613,0.5315027884847653,0.5140694314230831,0.4757760455695244,71.03225806451613
6516,2024,"Bland, Richard",127,0.42174015748031496,0.45545768522799995,0.44207606499096563,0.46420566378443234,70.40944881889764
15575,2024,"Hoge, Tom",182,0.5132637362637362,0.5332172181834193,0.442339143382485,0.4629904912789986,70.16292134831461
22322,2024,"Mckibbin , Tom",119,0.6950420168067226,0.4782729728387488,0.6681418861123102,0.46125397826602466,70.6218487394958
22051,2024,"Wise, Aaron",109,0.5206697247706422,0.5552447018632528,0.42830575534990767,0.4570313405717987,70.10091743119266
25889,2024,"Nienaber, Wilco",145,0.505951724137931,0.44022020721760813,0.5162140230794524,0.4469499225394034,70.7448275862069
12337,2024,"Kokrak, Jason",107,0.39999999999999997,0.4060440531635289,0.4306327539444754,0.445262294136918,70.01869158878505
20522,2024,"Veerman, Johannes",151,0.35225165562913907,0.4817118452019806,0.32246140428168285,0.4366908169246784,71.12582781456953
11952,2024,"Grace, Branden",122,0.48302459016393445,0.4045739777906515,0.5011354680035613,0.4363616338904873,70.18032786885246
13997,2024,"Svensson, Adam",202,0.4375792079207921,0.396568484280576,0.47612677307181617,0.4347139058807639,69.87128712871286
15596,2024,"Cockerill, Aaron",156,0.4756794871794872,0.41572719429710486,0.4831686802846342,0.43031783731564827,70.61538461538461
12819,2024,"Bekker, Oliver",182,0.44732967032967036,0.5234495344286787,0.3617760598004245,0.4240948045887329,70.92307692307692
13126,2024,"Taylor, Nick",165,0.4772181818181818,0.42553510453587967,0.4812201466745657,0.4232089001947224,70.25465838509317
